DMU,process,x1,x2,x3,x4,x5,x6,x7,x8,y1-O,y1-I,y2-O,y2-I,y3-O,y3-I,y4-O,y4-I,y5-O,y5-I,y6-O,y6-I,y7-O,yf
H1,total,500,1000,200,300,50,100,20,5,2400,NaN,1200,NaN,1080,NaN,1020,NaN,960,NaN,840,NaN,4.8,12000000
H1,1,200,400,50,100,10,20,5,1,2400,1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H1,2,100,200,50,50,10,20,5,1,NaN,NaN,1200,1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H1,3,100,200,50,100,20,40,5,2,NaN,NaN,NaN,NaN,1080,1020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H1,4,50,100,25,25,5,10,3,0.5,NaN,NaN,NaN,NaN,NaN,NaN,1020,960,NaN,NaN,NaN,NaN,NaN,NaN
H1,f,50,100,25,25,5,10,2,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,960,840,840,NaN,4.8,12000000
H2,total,450,900,180,270,45,90,18,4.5,2160,NaN,1080,NaN,972,NaN,918,NaN,864,NaN,756,NaN,4.7,10800000
H2,1,180,360,45,90,9,18,4.5,0.9,2160,1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H2,2,90,180,45,45,9,18,4.5,0.9,NaN,NaN,1080,972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H2,3,90,180,45,90,18,36,4.5,1.8,NaN,NaN,NaN,NaN,972,918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H2,4,45,90,22.5,22.5,4.5,9,2.7,0.45,NaN,NaN,NaN,NaN,NaN,NaN,918,864,NaN,NaN,NaN,NaN,NaN,NaN
H2,f,45,90,22.5,22.5,4.5,9,1.8,0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,864,756,756,NaN,4.7,10800000
H3,total,550,1100,220,330,55,110,22,5.5,1760,NaN,880,NaN,792,NaN,748,NaN,704,NaN,616,NaN,4.2,7040000
H3,1,220,440,55,110,11,22,5.5,1.1,1760,880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H3,2,110,220,55,55,11,22,5.5,1.1,NaN,NaN,880,792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H3,3,110,220,55,110,22,44,5.5,2.2,NaN,NaN,NaN,NaN,792,748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H3,4,55,110,27.5,27.5,5.5,11,3.3,0.55,NaN,NaN,NaN,NaN,NaN,NaN,748,704,NaN,NaN,NaN,NaN,NaN,NaN
H3,f,55,110,27.5,27.5,5.5,11,2.2,0.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,704,616,616,NaN,4.2,7040000
H4,total,400,800,160,240,40,80,16,4,1280,NaN,640,NaN,576,NaN,544,NaN,512,NaN,448,NaN,4,5120000
H4,1,160,320,40,80,8,16,4,0.8,1280,640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H4,2,80,160,40,40,8,16,4,0.8,NaN,NaN,640,576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H4,3,80,160,40,80,16,32,4,1.6,NaN,NaN,NaN,NaN,576,544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H4,4,40,80,20,20,4,8,2.4,0.4,NaN,NaN,NaN,NaN,NaN,NaN,544,512,NaN,NaN,NaN,NaN,NaN,NaN
H4,f,40,80,20,20,4,8,1.6,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,512,448,448,NaN,4,5120000
H5,total,600,1200,240,360,60,120,24,6,1800,NaN,900,NaN,810,NaN,765,NaN,720,NaN,630,NaN,4.3,7200000
H5,1,240,480,60,120,12,24,6,1.2,1800,900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H5,2,120,240,60,60,12,24,6,1.2,NaN,NaN,900,810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H5,3,120,240,60,120,24,48,6,2.4,NaN,NaN,NaN,NaN,810,765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
